participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
F2024_1,stimuli/tones/silence.wav,2,0,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Ringo/010101.wav,stimuli/Hopper/030103.wav,NA,1,silence,silence,W_4,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,0.75,1,noResp,NA,G_3,stimuli/Baron6dB/070302.wav,stimuli/Charlie/000303.wav,stimuli/Ringo/010200.wav,NA,1,silence,silence,G_3,1,0,0,1,0
F2024_1,stimuli/tones/FlatIEC-30dB.wav,0.75,2,noResp,NA,W_1,stimuli/Baron6dB/070200.wav,stimuli/Hopper/030001.wav,stimuli/Ringo/010101.wav,NA,0,-30dB,Flat,W_1,1,0,1,0,0
F2024_1,stimuli/tones/silence.wav,2,3,noResp,NA,B_1,stimuli/Baron6dB/070000.wav,stimuli/Eagle/060200.wav,stimuli/Hopper/030001.wav,NA,1,silence,silence,B_1,1,0,0,1,0
F2024_1,stimuli/tones/silence.wav,0.75,4,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Ringo/010202.wav,stimuli/Laker/020302.wav,NA,1,silence,silence,R_1,1,0,0,1,0
F2024_1,stimuli/tones/FlatIEC-33dB.wav,1.25,5,noResp,NA,B_4,stimuli/Baron6dB/070003.wav,stimuli/Tiger/050200.wav,stimuli/Ringo/010301.wav,NA,0,-33dB,Flat,B_4,1,0,1,0,0
F2024_1,stimuli/tones/silence.wav,1.25,6,noResp,NA,G_4,stimuli/Baron6dB/070303.wav,stimuli/Tiger/050302.wav,stimuli/Eagle/060000.wav,NA,1,silence,silence,G_4,1,0,0,1,0
F2024_1,stimuli/tones/PercTri-24dB.wav,1.25,7,space,1.7492,W_2,stimuli/Baron6dB/070201.wav,stimuli/Arrow/040001.wav,stimuli/Hopper/030002.wav,NA,1,-24dB,PercTri,W_2,1,1,0,0,0
F2024_1,stimuli/tones/PercTri-21dB.wav,2,8,space,2.7476,G_1,stimuli/Baron6dB/070300.wav,stimuli/Charlie/000300.wav,stimuli/Arrow/040100.wav,NA,1,-21dB,PercTri,G_1,1,1,0,0,0
F2024_1,stimuli/tones/silence.wav,2,9,noResp,NA,G_2,stimuli/Baron6dB/070301.wav,stimuli/Laker/020202.wav,stimuli/Tiger/050101.wav,NA,1,silence,silence,G_2,1,0,0,1,0
