participant,tone,tone_onset,loop.thisN,key_resp_5.keys,key_resp_5.rt,mouseClick_5.clicked_name,thisA,thisB,thisC,typePrompt,cor,snr,env,CRMcorrect,CRMhit,hit,miss,cr,fa
1,stimuli/tones/silence.wav,2,0,noResp,NA,R_4,stimuli/Baron6dB/070103.wav,stimuli/Tiger/050101.wav,stimuli/Arrow/040303.wav,NA,1,silence,silence,R_4,1,0,0,1,0
1,stimuli/tones/PercTri-24dB.wav,1.25,1,noResp,NA,G_2,stimuli/Baron6dB/070301.wav,stimuli/Laker/020300.wav,stimuli/Eagle/060301.wav,NA,0,-24dB,PercTri,G_2,1,0,1,0,0
1,stimuli/tones/PercTri-30dB.wav,0.75,2,noResp,NA,W_3,stimuli/Baron6dB/070202.wav,stimuli/Hopper/030201.wav,stimuli/Laker/020003.wav,NA,0,-30dB,PercTri,W_3,1,0,1,0,0
1,stimuli/tones/PercTri-24dB.wav,0.75,3,noResp,NA,R_3,stimuli/Baron6dB/070102.wav,stimuli/Ringo/010300.wav,stimuli/Eagle/060101.wav,NA,0,-24dB,PercTri,R_3,1,0,1,0,0
1,stimuli/tones/FlatIEC-33dB.wav,2,4,noResp,NA,R_1,stimuli/Baron6dB/070100.wav,stimuli/Ringo/010003.wav,stimuli/Eagle/060003.wav,NA,0,-33dB,Flat,R_1,1,0,1,0,0
1,stimuli/tones/silence.wav,1.25,5,noResp,NA,W_4,stimuli/Baron6dB/070203.wav,stimuli/Arrow/040300.wav,stimuli/Hopper/030100.wav,NA,1,silence,silence,W_4,1,0,0,1,0
1,stimuli/tones/silence.wav,2,6,noResp,NA,B_2,stimuli/Baron6dB/070001.wav,stimuli/Charlie/000102.wav,stimuli/Laker/020003.wav,NA,1,silence,silence,B_2,1,0,0,1,0
1,stimuli/tones/silence.wav,0.75,7,noResp,NA,G_1,stimuli/Baron6dB/070300.wav,stimuli/Hopper/030103.wav,stimuli/Ringo/010300.wav,NA,1,silence,silence,G_1,1,0,0,1,0
1,stimuli/tones/silence.wav,1.25,8,noResp,NA,R_3,stimuli/Baron6dB/070002.wav,stimuli/Ringo/010101.wav,stimuli/Charlie/000102.wav,NA,1,silence,silence,B_3,0,0,0,1,0
1,stimuli/tones/silence.wav,2,9,noResp,NA,W_2,stimuli/Baron6dB/070201.wav,stimuli/Charlie/000103.wav,stimuli/Ringo/010301.wav,NA,1,silence,silence,W_2,1,0,0,1,0
1,stimuli/tones/silence.wav,2,10,noResp,NA,W_3,stimuli/Baron6dB/070302.wav,stimuli/Tiger/050100.wav,stimuli/Laker/020202.wav,NA,1,silence,silence,G_3,0,0,0,1,0
1,stimuli/tones/silence.wav,2,11,noResp,NA,R_4,stimuli/Baron6dB/070303.wav,stimuli/Charlie/000101.wav,stimuli/Arrow/040103.wav,NA,1,silence,silence,G_4,0,0,0,1,0
